"date","year","epiweek","abbreviation","location","location_name","q_0.025","q_0.25","q_0.50","q_0.75","q_0.975"
2010-10-16,2010,41,"GA","13","Georgia",0.55,1.81,3.36,6.25,20.26
2010-10-16,2010,41,"HI","15","Hawaii",3.81,12.45,23.08,42.53,131.66
2010-10-16,2010,41,"ID","16","Idaho",0.4,2.59,6.85,18.08,109.83
2010-10-16,2010,41,"IL","17","Illinois",3.82,12.4,22.91,42.11,129.91
2010-10-16,2010,41,"IN","18","Indiana",0.05,0.18,0.33,0.62,2.01
2010-10-16,2010,41,"IA","19","Iowa",0.07,0.23,0.43,0.8,2.61
2010-10-16,2010,41,"KS","20","Kansas",0.1,0.32,0.6,1.11,3.65
2010-10-16,2010,41,"KY","21","Kentucky",2.22,7.2,13.33,24.6,77.52
2010-10-16,2010,41,"LA","22","Louisiana",1.45,4.74,8.8,16.31,52.19
2010-10-16,2010,41,"ME","23","Maine",0.05,0.31,0.82,2.14,13.44
2010-10-16,2010,41,"MD","24","Maryland",0.13,0.42,0.78,1.45,4.72
2010-10-16,2010,41,"MA","25","Massachusetts",0.07,0.22,0.42,0.77,2.53
2010-10-16,2010,41,"MI","26","Michigan",0.5,2.93,7.4,18.6,103.41
2010-10-16,2010,41,"MN","27","Minnesota",2.28,7.42,13.74,25.37,79.94
2010-10-16,2010,41,"MS","28","Mississippi",0.04,0.25,0.63,1.6,9.58
2010-10-16,2010,41,"MO","29","Missouri",0.07,0.24,0.45,0.84,2.74
2010-10-16,2010,41,"MT","30","Montana",0.06,0.33,0.81,1.99,11.08
2010-10-16,2010,41,"NE","31","Nebraska",0.04,0.14,0.27,0.5,1.63
2010-10-16,2010,41,"NV","32","Nevada",0.33,1.91,4.78,11.95,66.88
2010-10-16,2010,41,"NH","33","New Hampshire",0.03,0.18,0.45,1.1,6.09
2010-10-16,2010,41,"NJ","34","New Jersey",0.07,0.54,1.64,4.95,39.96
2010-10-16,2010,41,"NM","35","New Mexico",0.07,0.24,0.44,0.83,2.71
2010-10-16,2010,41,"NY","36","New York",0.83,2.7,5.01,9.29,29.96
2010-10-16,2010,41,"NC","37","North Carolina",0.08,0.28,0.51,0.95,3.12
2010-10-16,2010,41,"ND","38","North Dakota",1.03,3.37,6.26,11.62,37.39
2010-10-16,2010,41,"OH","39","Ohio",0.07,0.22,0.41,0.77,2.51
2010-10-16,2010,41,"OK","40","Oklahoma",0.1,0.31,0.58,1.09,3.54
2010-10-16,2010,41,"OR","41","Oregon",0.06,0.19,0.35,0.65,2.11
2010-10-16,2010,41,"PA","42","Pennsylvania",0.16,0.52,0.97,1.8,5.85
2010-10-16,2010,41,"RI","44","Rhode Island",0.07,0.57,1.79,5.56,47.43
2010-10-16,2010,41,"SC","45","South Carolina",0.07,0.22,0.41,0.77,2.5
2010-10-16,2010,41,"SD","46","South Dakota",0.05,0.17,0.32,0.6,1.96
2010-10-16,2010,41,"TN","47","Tennessee",0.05,0.17,0.32,0.59,1.91
2010-10-16,2010,41,"TX","48","Texas",1.57,5.13,9.52,17.63,56.38
2010-10-16,2010,41,"UT","49","Utah",3.83,12.43,22.96,42.16,129.75
2010-10-16,2010,41,"VT","50","Vermont",0.21,1.46,4.06,11.28,76.46
2010-10-16,2010,41,"VA","51","Virginia",0.08,0.26,0.49,0.9,2.94
